GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
project02,com.practice.project02.student,StudentController,22,55,4,2,6,13,4,5,1,5
project02,com.practice.project02.student,StudentServices,3,85,3,3,1,19,3,6,0,6
project02,com.practice.project02.student,Student,4,34,0,0,2,14,1,10,1,10
project02,com.practice.project02.config,ApiProperties,3,7,0,0,1,2,1,2,1,2
project02,com.practice.project02.config,ApiSecurityConfiguration,0,107,0,2,0,14,0,7,0,6
project02,com.practice.project02.user,User,38,0,0,0,16,0,11,0,11,0
project02,com.practice.project02.user,UserController,7,6,0,0,1,3,1,1,1,1
project02,com.practice.project02.user,UserService,69,11,6,0,13,4,5,1,2,1
project02,com.practice.project02.publicNewsAPI,NewsApiClient,22,7,2,0,6,3,3,1,2,1
project02,com.practice.project02.publicNewsAPI,News,24,0,0,0,5,0,7,0,7,0
project02,com.practice.project02.publicNewsAPI,NewsController,4,3,0,0,1,1,1,1,1,1
project02,com.practice.project02.publicNewsAPI,NewsResponse,6,0,0,0,2,0,2,0,2,0
project02,com.practice.project02,Project03Application,8,3,0,0,3,1,1,1,1,1
