GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
project02,com.practice.project06.filter,JwtFilter,15,72,6,10,0,18,6,4,0,2
project02,com.practice.project06.filter,JwtAuthenticationEntryPoint,0,8,0,0,0,3,0,2,0,2
project02,com.practice.project06.transaction,Transaction,24,41,0,0,1,15,6,8,6,8
project02,com.practice.project06.transaction,TransactionService,0,123,0,4,0,26,0,6,0,4
project02,com.practice.project06.transaction,TransactionDTO,0,31,0,0,0,6,0,9,0,9
project02,com.practice.project06.transaction,TransactionController,0,32,0,0,0,10,0,3,0,3
project02,com.practice.project06,Assignment,32,3,0,0,7,1,1,1,1,1
project02,com.practice.project06.config,ApiProperties,3,7,0,0,1,2,1,2,1,2
project02,com.practice.project06.config,ApiSecurityConfiguration,4,232,0,0,0,32,1,11,1,11
project02,com.practice.project06.balance,BalanceController,5,63,1,3,2,16,1,4,0,3
project02,com.practice.project06.balance,Balance,0,38,0,0,0,7,0,11,0,11
project02,com.practice.project06.balance,BalanceService,0,9,0,0,0,2,0,2,0,2
project02,com.practice.project06.balance,BalanceDTO,0,24,0,0,0,5,0,7,0,7
project02,com.practice.project06.user,CustomUserDetailsService,0,47,0,2,0,10,0,4,0,3
project02,com.practice.project06.user,UserController,0,14,0,0,0,3,0,3,0,3
project02,com.practice.project06.user,User,0,45,0,0,0,8,0,13,0,13
project02,com.practice.project06.user,UserService,17,30,1,1,2,8,1,3,0,3
project02,com.practice.project06.utility,JwtUtil,1,60,2,2,0,14,2,6,0,6
project02,com.practice.project06.account,AccountDTO,0,24,0,0,0,5,0,7,0,7
project02,com.practice.project06.account,AccountService,63,112,5,5,14,26,7,5,3,4
project02,com.practice.project06.account,Account,0,31,0,0,0,6,0,9,0,9
project02,com.practice.project06.account,AccountController,13,36,2,0,2,8,2,5,1,5
project02,com.practice.project06.auth,JwtResponse,81,0,14,0,4,0,15,0,8,0
project02,com.practice.project06.auth,AuthController,0,25,0,0,0,5,0,3,0,3
project02,com.practice.project06.auth,AuthRequest,101,23,22,0,1,4,15,6,4,6
project02,com.practice.project06.auth,AuthService,37,82,2,0,7,17,3,2,2,2
